순번,road_address,도로종류,도로기능,도로규모,도로폭,시도구도구분
568,용산~성수선,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
569,용인서울고속도로,일반도로,기타,광로3류,폭40-50m,고속국도
570,우면~수서선,일반도로,주간선도로,대로2류,폭30-35m,특별시도
571,우면~중학선,일반도로,주간선도로,대로2류,폭30-35m,특별시도
572,우면산로,일반도로,국지도로,중로1류,폭20-25m,구도
573,우사단로10길,일반도로,국지도로,중로2류,폭15-20m,구도
574,우이천로45길,일반도로,국지도로,중로2류,폭15-20m,구도
575,우정국로,일반도로,국지도로,중로2류,폭15-20m,구도
576,월계~도봉선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
577,월계~마들선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
578,월계로55길,일반도로,국지도로,중로1류,폭20-25m,구도
579,월곡선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
580,월드컵로,일반도로,국지도로,중로1류,폭20-25m,구도
581,월드컵북로,일반도로,국지도로,중로2류,폭15-20m,구도
582,월드컵북로54길,일반도로,국지도로,중로1류,폭20-25m,구도
583,월드컵북로60길,일반도로,국지도로,중로1류,폭20-25m,구도
584,위례~거여선,일반도로,보조간선도로,대로2류,폭30-35m,특별시도
585,위례광장로,일반도로,국지도로,중로1류,폭20-25m,구도
586,위례대로,일반도로,국지도로,광로3류,폭40-50m,구도
587,위례북로,일반도로,국지도로,중로1류,폭20-25m,구도
588,위례북로2길,일반도로,국지도로,중로1류,폭20-25m,구도
589,위례북로6길,일반도로,국지도로,중로1류,폭20-25m,구도
590,위례서로,일반도로,국지도로,대로1류,폭35-40m,구도
591,위례서이로,일반도로,국지도로,중로1류,폭20-25m,구도
592,위례성대로,일반도로,국지도로,광로2류,폭50-70m,구도
593,위례송파로,일반도로,국지도로,대로3류,폭25-30m,구도
594,위례송파로1길,일반도로,국지도로,중로1류,폭20-25m,구도
595,위례송파로2길,일반도로,국지도로,중로1류,폭20-25m,구도
596,위례송파로5길,일반도로,국지도로,중로1류,폭20-25m,구도
597,위례순환로,일반도로,국지도로,대로2류,폭30-35m,구도
598,위례중앙로,일반도로,국지도로,대로3류,폭25-30m,구도
599,위례터널선,일반도로,보조간선도로,중로2류,폭15-20m,특별시도
600,율곡로,일반도로,국지도로,중로2류,폭15-20m,구도
601,은천로33길,일반도로,국지도로,중로2류,폭15-20m,구도
602,은행로,일반도로,국지도로,대로3류,폭25-30m,구도
603,을지~둔촌선,일반도로,주간선도로,대로3류,폭25-30m,특별시도
604,을지로,일반도로,국지도로,중로2류,폭15-20m,구도
605,을지로13길,일반도로,국지도로,중로2류,폭15-20m,구도
606,의사당대로,일반도로,국지도로,대로1류,폭35-40m,구도
607,의사당선,일반도로,보조간선도로,중로2류,폭15-20m,특별시도
608,이문~신내선,일반도로,보조간선도로,중로2류,폭15-20m,특별시도
609,이문~창동선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
610,이문로,일반도로,국지도로,중로2류,폭15-20m,구도
611,이수1고가도로,일반도로,도시고속도로,중로2류,폭15-20m,특별시도
612,이수~청담선,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
613,이촌로46길,일반도로,국지도로,중로2류,폭15-20m,구도
614,이촌로54길,일반도로,국지도로,중로2류,폭15-20m,구도
615,인천국제공항고속도로,일반도로,기타,광로2류,폭50-70m,고속국도
616,일원~잠실선,일반도로,보조간선도로,대로2류,폭30-35m,특별시도
617,일원로,일반도로,국지도로,대로3류,폭25-30m,구도
618,일원로13길,일반도로,국지도로,중로2류,폭15-20m,구도
619,일원로14길,일반도로,국지도로,중로2류,폭15-20m,구도
620,일원로3길,일반도로,국지도로,중로2류,폭15-20m,구도
621,임정로,일반도로,국지도로,대로3류,폭25-30m,구도
622,자곡~문정선,일반도로,보조간선도로,대로1류,폭35-40m,특별시도
623,자곡로,일반도로,국지도로,대로3류,폭25-30m,구도
624,자양번영로,일반도로,국지도로,중로2류,폭15-20m,구도
625,자유로,일반도로,국지도로,광로3류,폭40-50m,구도
626,잠실~방이선,일반도로,보조간선도로,대로1류,폭35-40m,특별시도
627,잠실로,일반도로,국지도로,중로1류,폭20-25m,구도
628,잠실철교선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
629,잠원로,일반도로,국지도로,중로2류,폭15-20m,구도
630,잠원로14길,일반도로,국지도로,중로2류,폭15-20m,구도
631,잠원로3길,일반도로,국지도로,중로2류,폭15-20m,구도
632,잠원로4길,일반도로,국지도로,중로2류,폭15-20m,구도
633,잠원로8길,일반도로,국지도로,중로1류,폭20-25m,구도
634,장안~수유선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
635,장안교지하도로,일반도로,주간선도로,중로2류,폭15-20m,구도
636,장월로37길,일반도로,국지도로,중로1류,폭20-25m,구도
637,장지~가회선,일반도로,주간선도로,광로2류,폭50-70m,특별시도
638,장지~문정선,일반도로,보조간선도로,대로1류,폭35-40m,특별시도
639,장지~성수선,일반도로,주간선도로,대로2류,폭30-35m,특별시도
640,장충단로7길,일반도로,국지도로,중로1류,폭20-25m,구도
641,장한로,일반도로,국지도로,대로2류,폭30-35m,구도
642,장한평~사가정선,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
643,저동~을지로선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
644,적선~부암선,일반도로,보조간선도로,중로2류,폭15-20m,특별시도
645,전농로10길,일반도로,국지도로,중로1류,폭20-25m,구도
646,정릉~번동선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
647,정의로,일반도로,국지도로,중로1류,폭20-25m,구도
648,정의로3길,일반도로,국지도로,중로2류,폭15-20m,구도
649,정의로7길,일반도로,국지도로,중로2류,폭15-20m,구도
650,조원로,일반도로,국지도로,중로2류,폭15-20m,구도
651,조원중앙로,일반도로,국지도로,중로1류,폭20-25m,구도
652,조정대로,일반도로,국지도로,대로3류,폭25-30m,구도
653,종로,일반도로,국지도로,중로1류,폭20-25m,구도
654,종로40길,일반도로,국지도로,중로2류,폭15-20m,구도
655,종암~회기선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
656,종암로,일반도로,국지도로,중로2류,폭15-20m,구도
657,중곡~신내선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
658,중대로,일반도로,국지도로,중로2류,폭15-20m,구도
659,중대로4길,일반도로,국지도로,중로2류,폭15-20m,구도
660,중앙로,일반도로,국지도로,중로2류,폭15-20m,구도
661,중앙로,일반도로,국지도로,중로2류,폭15-20m,구도
662,중앙로,일반도로,국지도로,중로2류,폭15-20m,구도
663,중학~성북선,일반도로,보조간선도로,중로3류,폭12-15m,특별시도
664,증산~연희선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
